#Standard_Name RA Dec ProperMotionRA ProperMotionDec Parallax V_magnitude EffectiveTemperature RadialVelocity SpectralType
#HR1544 4.8435342 +8.9001804 1.41 -29.91 14.53 4.353 9014.197 24 3
#HR3454 8.7204097 +3.39866389 -19.39 -1.08 5.56 4.300 11117.023 21 2
#HR4468 11.6113648 -9.802248 -59.38 2.55 11.63 4.682 10013 1.0 2
#HR5501 14.75839 +0.717275 -41.63 -6.27 6.61 5.673 9371 -20.4 3
#HR7596 19.9124438 +0.273627 43.22 -13.11 8.78 5.628 8209.565 -49.8 3
#HR7950 20.794598 -9.4957744 33.98 -34.77 15.70 3.770 000 -15.30 2
#HR8634 22.6910367 +10.8312889 77.22 -11.38 17 3.390 10964.78 7 3
#HR9087 0.030402 -3.0275 19.08 -9.660 7.180 5.100 000 23.00 2
HR7001 18.61565 +38.7837 200.94 286.23 130.23 0.03 9602 -20.60 3
moon 0.00 0.00 0.00 0.00 0.00 -12 5800 0.0 0
Moon 0.00 0.00 0.00 0.00 0.00 -12 5800 0.0 0
