# E. Martioli, LNA -- Dec 14 2015
# List of Th-Ar lines identified manually
# The reference Th-Ar spectrum is LovisPepe_ThArAtlas.dat
# 
# ordernumber wavelength[nm] distance[pix]
#
28  913.223 91.2694  
28  913.469 116.100
28  915.903 713.597
28  916.589 884.311
28  919.471 1488.02
28  919.861 1550.09
28  921.602 1956.70
29  896.763 54.9401
29  898.652 245.432  
29  898.748 280.649
29  899.798 386.300
29  901.663 784.892
29  904.835 994.593
29  906.679 1550.06
29  909.508 2031.89
30  880.457 32.7190  
30  881.620 291.750
30  881.776 352.887
30  882.034 403.567
30  884.115 734.193
30  885.006 993.224
30  885.897 1150.13  
30  887.522 1550.66
31  859.321 41.8206  
31  860.586 135.863
31  862.065 226.967
31  866.563 826.491
31  866.814 861.757
31  867.863 1008.70  
31  870.918 1453.93
31  873.256 1761.04
32  840.806 132.818
32  841.669 247.113 
32  841.795 263.589
32  842.122 304.778
32  842.441 347.933
32  844.545 634.291
32  844.650 648.021
32  851.662 1684.61
32  852.155 1762.63
33  815.973 133.234
33  816.984 351.725
33  818.699 680.899
33  820.338 859.142
33  823.149 1345.00
33  825.247 1723.04
33  825.952 1879.72
34  802.220 81.6628
34  803.021 190.967
34  804.611 412.589
34  806.261 649.031
34  808.523 982.935
34  809.881 1201.46
34  812.274 1572.33
34  813.793 1825.74
34  814.155 1881.37
34  815.068 2035.64
35  784.029 30.9404
35  784.225 57.7162
35  785.570 246.387
35  786.820 425.140
35  788.628 690.147
35  790.031 902.567
35  791.645 1153.19
35  793.773 1497.48
35  795.695 1822.88
35  796.505 1964.92
36  767.007 32.8728
36  767.620 120.712
36  768.529 251.724
36  770.480 538.605
36  771.392 676.610
36  774.257 1124.19
36  777.195 1612.57
36  778.230 1793.12
36  778.894 1911.26
36  779.313 1987.39
36  779.542 2029.40
37  750.849 56.0589
37  751.042 84.3740
37  752.551 306.509
37  754.931 668.225
37  756.768 959.340
37  758.571 1255.44
37  759.818 1466.14
37  761.835 1822.08
37  762.718 1984.26
38  735.081 37.5231
38  736.704 280.591
38  737.689 430.762
38  739.296 683.045
38  741.236 995.544
38  742.891 1275.92
38  744.784 1607.69
38  745.520 1740.68
38  747.118 2038.82
39  720.004 25.3126
39  720.181 52.7661
39  720.252 63.1259
39  720.647 123.731
39  721.668 279.917
39  721.692 283.635
39  721.915 318.988
39  722.098 346.642
39  722.993 487.605
39  724.020 652.381
