# E. Martioli, LNA -- April 9 2015
# List of Th-Ar lines identified manually
# The reference Th-Ar spectrum is LovisPepe_ThArAtlas.dat
# 
# ordernumber wavelength[nm] distance[pix]
#
77 474.256 2019.03
78 462.730 27.6208
78 463.723 274.423
78 464.470 461.671
78 465.198 646.180
78 465.957 840.207
78 466.652 1020.50
78 467.305 1191.79
78 467.697 1295.92
78 468.336 1466.67
78 469.408 1759.77
78 470.232 1989.67
78 470.336 2019.04
79 458.989 41.2324
79 459.541 179.171
79 460.314 373.794
79 461.124 579.330
79 462.024 811.140
79 462.729 994.911
79 463.376 1166.63
79 464.125 1366.16
79 465.155 1647.39
79 465.956 1870.93
79 466.497 2023.76
80 455.215 30.6801
80 455.834 186.556
80 456.441 340.055
80 457.097 508.115
80 458.118 772.470
80 458.842 962.419
80 459.876 1238.13
80 460.315 1356.48
80 461.253 1614.91
80 461.947 1808.91
80 462.729 2031.35
81 451.510 22.6063
81 452.233 205.487
81 453.305 481.699
81 454.102 687.863
81 455.148 964.262
81 455.835 1148.38
81 456.440 1312.72
81 456.814 1415.08
81 457.371 1568.86
81 458.118 1778.84
81 458.990 2029.38
82 447.860 12.6397
82 448.335 133.912
82 448.750 240.702
82 449.098 330.718
82 450.293 642.140
82 451.322 915.096
82 453.032 1379.97
82 453.765 1584.40
82 454.592 1819.55
82 455.215 2000.09
83 444.367 28.6796
83 444.888 162.864
83 445.586 344.832
83 446.153 492.689
83 446.952 704.283
83 448.082 1007.94
83 448.868 1222.31
83 449.893 1508.90
83 450.522 1687.15
83 451.362 1931.31
83 451.602 1999.57
84 440.888 33.6832
84 441.449 179.990
84 442.205 378.065
84 443.099 615.514
84 443.946 843.048
84 444.590 1017.70
84 445.257 1201.37
84 445.800 1353.03
84 446.534 1561.15
84 447.522 1845.90
84 448.083 2010.97
85 437.411 25.4361
85 438.185 228.790
85 439.110 474.597
85 440.156 756.278
85 440.990 983.611
85 441.623 1159.00
85 442.204 1321.48
85 443.226 1612.80
85 443.987 1834.96
85 444.366 1947.33
85 444.659 2034.12
86 434.088 43.6031
86 434.907 260.963
86 435.833 508.289
